#name,ra,dec,Nmed,dN,NoverRmed,dNoverR,ID,zd,sigma,dsigma,sSIE,S10,dS10,S10t,dS10t,D1,dD1,aD1,daD1,D1t,dD1t,oS10,oD1,,Clu1,zcl,cldist,,,,,,,,,,,,,,
#Median N is 63.000000 and Median N is 1.028768 (for 100,000 random LoS),,,,,,,,km/s,km/s,km/s,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,Mpc^2,,,,,,arcmin,,,,,,,,,,,,,,
SDSSJ1636+4707,249.010917,47.124889,126,2.940639,2.800198,0.066429,J1636+4707,0.228,250,16,247,10.0,3.2,7.8,1.3,3.9,0.8,3.9,0.1,4.0,0.3,2.56410256410256,1,1,MaxBCGJ249.00650+47.11864,0.235,0.40,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ1644+2625,251.179542,26.423722,108,1.944179,1.91464,0.036487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ2238-0754,339.6675,-7.915556,64,1.465529,1.317026,0.042869,J2238-0754,0.137,211,12,238,1.6,0.5,7.0,0.6,1.6,0.5,4.1,0.2,4.6,0.2,0.390243902439024,0.390243902439024,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ2300+0022,345.221458,0.377222,154,1.669682,3.567126,0.027674,J2300+0022,0.228,301,18,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ2302-0840,345.584083,-8.680417,69,1.877977,1.305858,0.033057,J2302-0840,0.090,253,13,0,3.4,1.1,10.1,2.1,3.6,0.7,5.9,0.4,4.4,0.3,0.576271186440678,0.610169491525424,0,MaxBCGJ345.47648-08.74353,0.211,7.40,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ2303+1422,345.8405,14.371639,72,2.211131,1.599903,0.055342,J2303+1422,0.155,269,17,290,4.5,1.4,8.7,1.0,3.4,0.7,3.7,0.2,4.3,0.3,1.21621621621622,0.918918918918919,1,MaxBCGJ345.79257+14.36653,0.159,2.80,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ2321-0939,350.337208,-9.652861,82,1.362585,1.265065,0.036286,J2321-0939,0.082,260,13,259,2.0,0.6,15.0,2.9,2.0,0.6,2.7,0.2,5.7,0.6,0.740740740740741,0.740740740740741,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00,,
SDSSJ2341+0000,355.298208,0.005194,230,3.073174,4.028678,0.051733,J2341+0000,0.186,218,14,262,9.9,3.1,8.4,1.2,5.1,0.9,3.1,0.2,4.6,0.3,3.19354838709677,1.64516129032258,1,SDSSCEJ355.279785-00.000869,0.197,1.20,SDSSCEJ355.248779+00.081260,0.220,5.50,NSCSJ234103+000250,0.110,3.30,ABELL2644,0.069,5.30,,0.000,0.00,,
SDSSJ2343-0030,355.995292,-0.506222,206,2.82426,4.536365,0.092819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ2347-0005,356.867,-0.08925,84,1.503441,1.432935,0.04528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ0216-0813,34.21891667,-8.22925,59,1.325156217,0.854664402,0.0143006818999716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1250-0135,192.7105,-1.59213889,80,1.976513091,1.372735623,0.03553634437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1251-0209,192.8987917,-2.13477778,124,2.276269756,2.128703608,0.0428993930464605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1330-0148,202.68970833,-1.81155556,59,1.42757977010043,1.040906978,0.0253678982471564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1443+0304,220.83175,3.06894444,69,1.767868491,0.9919819168,0.02295315793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSSJ1451-0239,222.86745833,-2.66011111,77,1.026744369,1.111291437,0.01131361022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
