J1630+4520,0.248,297,17,311,2.0,0.6,9.8,1.1,1.7,0.5,2.8,0.1,4.2,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1636+4707,0.228,250,16,247,10.0,3.2,7.8,1.3,3.9,0.8,3.9,0.1,4.0,0.3,1,MaxBCGJ249.00650+47.11864,0.235,0.40,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J1718+6424,0.090,0,0,0,10.0,3.2,10.5,2.0,4.1,0.8,3.6,0.2,4.2,0.3,1,SDSS-C43010,0.087,0.70,NSCJ171819+642403,0.118,2.10,,0.000,0.00,,0.000,0.00,,0.000,0.00
J2141-0001,0.138,195,15,0,2.6,0.8,7.8,0.9,2.3,0.6,5.2,0.3,4.1,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J2238-0754,0.137,211,12,238,1.6,0.5,7.0,0.6,1.6,0.5,4.1,0.2,4.6,0.2,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J2300+0022,0.228,301,18,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J2302-0840,0.090,253,13,0,3.4,1.1,10.1,2.1,3.6,0.7,5.9,0.4,4.4,0.3,0,MaxBCGJ345.47648-08.74353,0.211,7.40,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J2303+1422,0.155,269,17,290,4.5,1.4,8.7,1.0,3.4,0.7,3.7,0.2,4.3,0.3,1,MaxBCGJ345.79257+14.36653,0.159,2.80,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J2321-0939,0.082,260,13,259,2.0,0.6,15.0,2.9,2.0,0.6,2.7,0.2,5.7,0.6,0,No,-,-,,0.000,0.00,,0.000,0.00,,0.000,0.00,,0.000,0.00
J2341+0000,0.186,218,14,262,9.9,3.1,8.4,1.2,5.1,0.9,3.1,0.2,4.6,0.3,1,SDSSCEJ355.279785-00.000869,0.197,1.20,SDSSCEJ355.248779+00.081260,0.220,5.50,NSCSJ234103+000250,0.110,3.30,ABELL2644,0.069,5.30,,0.000,0.00
